"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Jordan",2021,0.35,0.243,0.2575314,2,33,"Not Free",0.41339,0.58398,1.34865,0.42496,0.343905,0.0580377777777778,"Gini index",0,0,815002.794736842,10330.9473684211,5787550.52631579,10269022,109.285,8337.49,0.168,"2019",0.168,2019,0.191,2019,124,4.395,4.633,10300.869
"Kazakhstan",2021,0.25,0.125,0.109375,2,23,"Not Free",0.9319375,0.2334375,-0.8303125,0.61637390625,0.342765625,1.657708125,"Gini index",27.8,0,765363.353909465,12455.4156378601,10583136.1399177,18994958,6.681,24055.588,0.049,"2020",0.048,2019,0.048,2019,44,6.152,6.058,19205.043
"Kenya",2021,0.25,0.362,0.230956,2,48,"Partly Free",0.878779661016949,0.659508474576271,0.450237288135593,0.214344139830508,0.242923728813559,0.63743950094162,"Gini index",0,0,216729.727722772,4302.71782178218,3256500.2970297,54985702,87.324,2993.028,0,"0",0,0,0,0,119,4.607,4.583,56215.221
"Kyrgyzstan",2021,0.25,0.323,0.218671,1,27,"Not Free",1.15,0.57421875,-0.37871875,0.3125,0.143609375,0,"FALSE",0,0,173565.936305732,2555.26114649682,1421331.01273885,6628347,32.333,3393.474,0,"0",0,0,0,0,66,5.744,5.542,6728.271
"Laos",2021,0.35,0.105,0.131565,1,13,"Not Free",-1.48139344262295,0.347172131147541,0.322565573770492,0,0.36469262295082,0,"FALSE",0,0,6398.65079365079,7.71428571428571,1973357.14285714,7379358,29.715,6397.36,0,"0",0,0,0,0,98,5.03,4.889,7481.023
"Lebanon",2021,0.15,0.286,0.1225224,1,42,"Partly Free",-1.08736,0.53161,1.35552,0,0.4345675,0,"Gini index",0,0,563072.083892617,7594.36241610738,1850585.88255034,6769151,594.561,13367.565,0,"0",0,0,0,0,121,4.584,4.772,6684.849
"Lesotho",2021,0.05,0.493,0.0499902,2,63,"Partly Free",0.925470588235294,0.657882352941176,0.961,0.751876176470588,-0.0592941176470588,0,"Gini index",0,0,16145.0666666667,458.266666666667,293339.2,2159067,73.562,2851.153,0,"0",0,0,0,0,142,3.512,3.653,2175.699
"Liberia",2021,0.1,0.433,0.0982044,2,60,"Partly Free",1.6567485380117,0.550701754385965,-0.380836257309942,0.923976608187134,-0.124156432748538,0,"Gini index",0,0,4014.90909090909,181.045454545455,250190.909090909,5180208,49.127,752.788,0,"0",0,0,0,0,118,4.625,4.558,5305.117
"Lithuania",2020,0.0333333333333333,0.764,0.0240405333333333,1,89,"Free",-0.297272727272727,0.712666666666667,-0.00336363636363637,0,0.0232424242424242,-0.0113878787878788,"Gini index",35.7,35.3,136388.2,1699.2,7061,2689862,45.135,29524.265,0.085,"2020",0.085,2020,0.084,2019,37,6.255,6.215,2661.708
"Lithuania",2021,0,0.764,0,1,89,"Free",-0.297272727272727,0.712666666666667,-0.00336363636363637,0,0.0232424242424242,-0.0113878787878788,"Gini index",35.7,35.3,294658.084931507,4466.76712328767,1991630.81917808,2689862,45.135,29524.265,0.085,"2020",0.085,2020,0.084,2019,37,6.255,6.215,2661.708
"Madagascar",2021,0.25,0.268,0.196176,2,61,"Partly Free",0.0893888888888889,0.241263888888889,0.659569444444444,0.735236111111111,0.0436527777777778,-0.730064081790123,"Gini index",0,0,42187.9,887.15,251502.3,28427333,43.951,1416.44,0,"0",0,0,0,0,132,4.208,4.166,29178.077
"Malaysia",2021,0.45,0.315,0.388395,2,50,"Partly Free",0.466,0.257849315068493,-0.239616438356164,1.36601369863014,0.275534246575342,0.128504109589041,"Gini index",0,0,1366673.67524116,13665.2990353698,24444105.9099678,32776195,96.254,26808.164,0.045,"2020",0.033,2019,0.033,2019,79,5.384,5.384,33181.072
"Mali",2021,0.3,0.323,0.2624052,1,32,"Not Free",1.13167307692308,0.428365384615385,0.399961538461538,0,-0.234850961538462,0,"Gini index",36.1,0,15313.3783783784,543.405405405405,407510.189189189,20855724,15.196,2014.306,0,"0",0,0,0,0,115,4.723,4.729,21473.764
"Mauritania",2021,0.15,0.17,0.08466,1,35,"Partly Free",0.855666666666667,0.1995,-0.6514375,0.393020833333333,0.0839322916666667,-0.16075162037037,"Gini index",0,0,29488.8545454545,647.818181818182,757950.272727273,4775110,4.289,3597.633,0,"0",0,0,0,0,131,4.227,4.375,4901.981
